d/f,shape,aspect ratio,age,w/b,Dmax,ratio of aggregate to binder,CA/FA,Cement strength grade,fly ash,Silicon,BFS,fc
150,1,1,7,0.59,19,4.15,1.52,3,0,0,30,29.8
100,2,2,28,0.4,20,3.27,2.09,3,0,0,0,40.5
150,1,1,365,0.75,19,5.94,1.52,3,0,0,0,33.1
100,2,2,56,0.43,19,4.16,1.5,1,0,0,0,54.2
100,1,1,3,0.27,25,2.83,1.83,5,10,10,0,71.8913
100,1,1,7,0.77,20,10.47,2.02,6,0,0,0,17.6288
100,2,2,28,0.4,14,3.1,1.57,3,0,0,0,36.4
100,1,1,7,0.3,31.5,4.26,1.44,3,24,0,0,47.46
100,1,1,28,0.19,10,2.79,1.48,1,0,0,0,96.8
100,1,1,7,0.44,31.5,3.83,2.11,1,70,0,0,7.967
100,1,1,28,0.51,40,10,3,3,0,0,40,32.12
100,1,1,90,0.3,20,3.6,1.94,3,0,40,0,81.32
150,1,1,119,0.52,19,3.2,1.52,3,0,0,56,45.3
100,2,2,3,0.4,20,3.31,1.32,3,0,0,0,32.1
150,2,2,28,0.71,25,7.72,1.27,3,0,0,0,17.2
150,1,1,3,0.5,20,4.57,1.5,3,0,0,30,13.1579
100,1,1,91,0.46,20,5.84,2.57,6,0,0,0,48.5629
100,1,1,7,0.26,31.5,3.49,1.63,3,35,0,0,44.47
100,1,1,90,0.46,25,4.74,1.43,5,29,0,0,50.3
100,3,2,21,0.6,19,4.75,0.81,1,0,0,0,29
200,2,2,28,0.19,30,2.79,1.5,3,0,10,0,40.2
150,1,1,3,0.3,16,4.81,1.44,3,0,0,60,32.3
300,1,1,28,0.67,40,13,3,3,0,0,50,16.31
150,1,1,3,0.5,20,4.57,1.5,3,20,0,30,8.60743
150,1,1,7,0.75,19,5.94,1.52,3,0,0,0,19.9
100,1,1,7,0.24,25,2.83,1.83,5,40,10,0,69.7753
100,1,1,7,0.27,25,2.83,1.83,5,0,10,30,80.603
100,3,2,3,0.5,19,3.92,0.8,1,60,0,0,7.2
150,1,1,119,0.64,19,4.73,1.52,3,0,0,42,43.4
100,2,4,1,0.32,25,3.15,1.46,3,0,0,0,30.4
100,1,1,90,0.4,20,4.54,1.75,1,25,0,0,66.2
100,3,2,56,0.55,19,4.13,0.85,1,75,0,0,7.9
200,1,1,28,0.51,80,10,3,3,0,0,60,26.56
150,1,1,7,0.52,19,3.2,1.52,3,0,0,56,24.1
100,1,1,56,0.36,12.5,3.66,1.43,5,25,0,0,66.46
100,2,2,3,0.6,20,5.95,1.03,3,0,0,0,18.5
450,2,2,90,0.45,20,4.05,1.35,3,16,0,0,34.68
150,1,1,360,0.5,16,4.26,1.44,3,0,0,80,34.3
100,2,2,28,0.3,10,3.47,1.67,1,45,0,0,64
100,2,2,56,0.4,20,4.54,1.75,1,25,0,0,53.6
100,3,2,3,0.32,19,3.23,0.17,4,0,0,0,45.9
100,1,1,3,0.5,20,3.4,1.86,1,0,0,0,26.1
100,3,2,90,0.27,19,2.67,0.14,4,10,0,0,75.4
100,2,2,28,0.7,14,6.61,0.77,3,0,0,0,18.4
100,1,1,7,0.36,12.5,3.75,1.35,5,0,0,50,38.06
100,1,1,56,0.4,20,3.5,1.63,1,0,0,0,67.1
150,1,1,360,0.4,16,5.47,1.44,3,0,0,60,79.1
150,1,1,3,0.5,16,3.62,1.44,3,0,0,0,25.8
250,1,1,28,0.51,40,10,3,3,0,0,30,27.27
100,3,2,180,0.35,19,3.47,0.18,4,20,0,0,71.4
100,3,2,28,0.35,19,3.42,0.18,4,30,0,0,51.8
100,3,2,14,0.6,19,4.62,0.85,1,15,0,0,24.9
100,1,1,7,0.5,20,4.17,1.96,1,20,5,0,30.6
100,3,2,7,0.55,19,4.21,0.82,1,30,0,0,20.7
150,1,1,7,0.5,16,3.58,1.44,3,0,0,40,28.3
100,1,1,56,0.24,25,2.83,1.83,5,40,10,0,98.6517
100,1,1,7,0.4,20,4.61,1.68,1,0,5,0,53
150,1,1,28,0.55,20,6.26,1.7,2,0,0,0,24.94
150,1,1,180,0.75,19,5.94,1.52,3,0,0,0,33.1
100,1,1,7,0.4,12.5,4.21,1.28,5,0,0,50,37.07
100,1,1,180,0.3,10,3.48,1.66,1,40,5,0,88.3
100,3,2,28,0.55,19,4.08,0.87,1,60,0,0,13.1
100,1,1,90,0.5,20,4.07,2.11,1,55,0,0,41.4
100,1,1,7,0.23,31.5,2.9,1.88,3,43,0,0,39.14
100,2,3,90,0.3,20,3.6,1.94,3,0,40,0,56.6
100,2,4,180,0.27,25,2.5,1.59,3,0,0,50,89.6
100,2,2,91,0.37,19,4.67,1.5,1,55,0,0,65.2
150,1,1,90,0.3,20,3.6,1.94,3,0,40,0,67.9
100,1,1,3,0.77,20,10.47,1.34,6,0,0,0,11.1561
100,2,2,3,0.4,14,3.41,0.93,3,0,0,0,32.7
100,1,1,1,0.46,20,5.84,2.57,6,0,0,0,16.2275
150,1,1,3,0.59,20,5.9,1.5,3,0,10,0,29.4
150,1,1,7,0.51,19,3.13,1.52,3,0,0,50,30.1
150,1,1,14,0.5,20,4.57,1.5,3,0,0,30,35.7895
100,3,2,14,0.6,19,4.61,0.86,1,45,0,0,10.7
350,3,2,90,0.45,20,4.05,1.35,3,16,0,0,35.85
100,2,2,56,0.5,20,4.11,2.05,1,40,5,0,37.4
100,2,2,28,0.3,10,3.61,1.51,1,0,5,0,87.7
100,2,2,28,0.5,25,4.86,1.27,3,0,0,0,35.87
100,1,1,7,0.28,20,3.16,4.12,6,0,0,0,62.3103
150,1,1,7,0.4,16,3.84,1.44,3,0,0,40,56.3
100,1,1,28,0.67,40,13,3,3,0,0,50,19.12
150,1,1,7,0.86,19,7.2,1.52,3,0,0,18,16.7
150,1,1,28,0.5,20,4.57,1.5,3,0,0,30,45.3947
150,3,2,90,0.45,20,4.05,1.35,3,16,0,0,39.52
150,2,2,28,0.54,20,4.24,1.5,3,0,0,0,24.28
100,3,2,7,0.55,19,4.91,0.26,4,20,0,0,22.6
100,1,1,28,0.75,20,7.66,1.78,3,0,0,0,13.5
100,1,1,28,0.51,20,3.28,1,6,0,0,0,59.5808
150,1,1,28,0.5,20,4.57,1.5,3,30,0,20,39.8011
100,1,1,56,0.24,25,2.83,1.83,5,0,10,30,102.489
100,3,2,28,0.5,19,4,0.75,1,15,0,0,36.8
